index0,index1,index2,index3,index4,label
99.13016252,99.28662784,97.95917159,97.45843925,99.08435515,0
98.88381632,96.79920618,94.8729132,95.20470664,98.18297316,0
97.5458424,97.00180747,96.11993292,96.52759829,99.72379339,0
98.5160842,96.26297471,95.70064661,96.61149383,98.36212106,0
98.76100218,98.23511341,97.89673823,98.75682256,99.35753631,0
99.0068704,99.07455975,98.58795258,99.0206288,98.18297316,0
98.88381632,98.79317862,98.46155154,98.40724747,98.4519122,0
98.27212028,96.86664305,96.60363236,96.77970925,99.08435515,0
96.70904456,95.07751803,94.34829622,94.39600376,95.64658209,0
96.47201801,96.39648756,96.60363236,96.36025226,98.18297316,0
99.2537041,98.44366035,98.33547575,98.06011494,99.35753631,0
99.2537041,99.64205873,100,99.37456115,100,0
98.88381632,100,99.86996468,100,100,0
98.63842417,97.0695218,94.40630339,93.60080737,96.94435899,0
99.13016252,99.42849762,99.09679506,98.49441355,98.54183948,0
92.68759892,90.07928188,87.41796716,87.06826783,92.40708427,0
90.61166042,85.30757496,78.98751933,81.6209418,89.65492002,0
89.33707691,83.96100441,77.15957241,80.14500237,88.29289977,0
89.97091046,85.20248892,78.42211916,80.72899024,88.74300945,0
87.07039783,82.55663554,72.97316471,74.98772451,83.04171095,0
80.23019315,74.83284129,67.62755408,70.31362739,81.51496557,0
84.02169434,79.23897668,71.81082951,72.81534138,84.40843362,0
77.36071874,70.67405149,63.8498763,66.86435233,77.44250855,0
78.12803433,71.33555777,62.85390514,65.82701703,75.96471068,0
74.47972521,69.3862834,62.75086535,65.98453075,77.3824922,0
65.23436824,59.72846866,52.68086309,54.96476503,69.37142422,0
70.11206036,63.87544644,56.87409745,58.16605354,71.3221653,0
70.18545786,63.16541045,57.42923819,57.19749271,66.93268615,0
56.58979755,51.45704382,44.9045302,47.48189067,64.71809311,0
69.60133231,62.99029127,54.48324627,49.63736739,53.61199921,0
60.16513573,54.80181813,48.37709057,51.07313921,67.89140264,0
71.37505238,64.296841,57.95133096,59.29508295,72.87143519,0
69.02413842,63.22399491,58.97888293,59.10392202,72.2237915,0
71.37505238,64.05538159,57.55888109,57.98199257,71.74416852,0
73.92241794,66.61718332,61.09795809,62.68268869,75.44399556,0
80.31960012,73.55169929,67.68731476,68.31285959,79.78130077,0
84.69584005,78.11645139,71.9456587,72.33886731,82.50531534,0
84.88996077,79.14801486,73.53321244,73.34667978,83.37991559,0
85.96971136,79.7429431,72.90375267,72.91138242,83.24436231,0
85.67317537,79.55895829,72.97316471,72.86332826,84.54717228,0
86.46738922,79.88147671,72.4215522,70.40325155,76.19802717,0
71.5257893,64.7851109,60.09050429,59.68109454,74.92910012,0
76.35479604,68.89775586,63.06100288,63.04136643,70.80028755,0
69.67396238,62.75826563,57.60222384,58.60004683,75.32907371,0
79.16875815,69.66848371,61.98864101,59.48747035,66.69639607,0
66.91944497,60.79674982,55.27097072,55.46461932,67.02758165,0
71.82865138,65.65715261,60.51819047,60.2694966,74.1954471,0
74.55983538,66.7472543,61.78848659,63.29486426,75.67469935,0
80.94962506,74.26702031,68.78122073,69.34248429,79.40432063,0
81.58705584,73.23807292,68.53510037,68.43990348,79.27931105,0
79.52024466,71.55875743,66.45409684,66.9048977,79.34177154,0
81.13098697,72.54187708,67.44891549,67.56025267,80.4801654,0
72.8258619,65.91051653,61.00056064,61.13989986,76.4325279,0
72.7484406,63.57772138,58.57250753,57.92089766,73.80525221,0
79.69684581,72.31267231,67.50835798,67.8092949,80.22486035,0
75.9413245,67.80590351,62.75086535,63.91895246,77.68334329,0
77.53026255,70.16775967,64.76802848,65.55314561,77.50260054,0
79.25641506,71.55875743,66.86016821,67.64306665,78.53605654,0
81.13098697,72.54187708,68.10858084,68.35515408,79.71826545,0
79.8740411,72.84969653,69.02910874,68.7809969,77.74374431,0
75.04319671,67.33875387,62.69946919,63.84490476,76.78650596,0
77.70036431,71.6334546,67.15325853,67.56025267,78.65913415,0
82.23201812,74.02708035,68.96697235,69.56086522,81.05953974,0
82.88464712,75.48988834,70.75007048,71.17423973,81.44964819,0
81.77055817,74.83284129,70.88095428,71.40419175,82.37211543,0
84.02169434,77.983837,73.60382648,74.03411915,83.92583922,0
84.79281662,78.56171443,72.83447498,73.98459532,84.40843362,0
86.76808991,81.1497761,76.77329164,76.70303427,84.54717228,0
86.0688893,79.92775368,74.9715342,74.38264373,82.90707179,0
83.92603745,77.89566963,72.76533163,73.49292256,83.17672398,0
84.59904248,79.10261653,74.31741219,75.08951486,83.4478327,0
83.16673326,76.41193956,72.1488464,72.33886731,80.28856343,0
76.27183894,68.62160029,64.87777827,65.94508246,76.02293121,0
79.25641506,70.9665708,65.60028,66.22220889,74.92910012,0
65.90113097,60.31146596,56.49598675,57.49673669,73.08941479,0
73.21475652,65.59410891,61.73864597,63.25852609,74.64553085,0
56.7534304,51.89332892,47.74181878,49.59237678,65.626425,0
75.53113788,68.82851547,64.17095911,64.8973042,68.13452592,0
48.83130805,44.21638638,38.67578098,41.29332946,53.94855281,0
21.17892548,8.419557783,1.705869874,3.014967759,16.29565423,1
24.74429273,8.62115571,1.228572858,1.970089521,12.14532852,1
13.31169272,2.811022319,0.383925489,0.844353001,7.480077119,1
8.873195453,1.373056967,0.147816173,0.339745047,3.266914905,1
5.085024888,0.839324789,0.100099552,0.257663417,3.032286667,1
3.765576023,0.557884197,0.069210843,0.13611818,1.659500124,1
6.917721191,1.953647729,0.265740167,0.626293534,6.205414676,1
7.47440385,1.395860248,0.172799204,0.424019594,4.842767724,1
10.18303521,3.146236285,0.502678899,1.073242919,8.905082989,1
14.41897189,5.374203965,1.001163627,2.003424594,13.1963408,1
18.81677232,7.087459994,1.358061093,2.366441389,14.04270276,1
17.78267166,6.143227402,1.063861249,1.87056267,12.2130922,1
16.07985065,5.957714041,1.169926475,2.237231292,14.06832187,1
15.24736795,4.328819634,0.662880387,1.381272224,10.48866152,1
9.327434289,1.65653335,0.204717392,0.450663931,4.643602122,1
9.18167712,2.763902656,0.452741828,0.962975453,8.080383273,1
6.272633223,1.088434,0.11476676,0.221151161,1.918548094,1
0,0,0,0.005301792,0.545554091,1
3.886621066,1.278576907,0.208199271,0.543149187,5.732426086,1
7.175285635,2.084496266,0.307209492,0.705735549,6.698794821,1
