index0;index1;index2;index3;index4;temp;press;hum;label;;;;;;
248906.17;769490.88;680398.69;185238.78;139852.50;32.64;90147.75;15.74;1;;;;;;
201813.17;497449.59;393619.06;124091.13;121097.45;32.65;90148.12;16.42;1;;;;;;
210786.33;648717.12;627258.81;179020.98;137375.91;32.68;90148.83;16.35;1;;;;;;
197607.09;486114.41;395443.12;125000.00;120329.02;32.76;90149.00;17.16;1;;;;;;
196243.77;467153.28;378348.41;130745.66;132676.86;32.85;90150.14;16.45;1;;;;;;
229339.31;697785.38;643822.69;178086.95;139168.25;32.93;90151.13;15.75;1;;;;;;
196809.53;534865.50;501837.78;155954.92;138042.59;32.89;90149.98;15.72;1;;;;;;
251288.34;894518.44;982725.50;265766.94;165803.11;32.90;90150.84;14.56;1;;;;;;
262295.09;993451.37;1168616.25;305762.91;172681.28;32.91;90150.88;14.52;1;;;;;;
273650.47;1093725.00;1336814.62;338177.00;183644.19;32.89;90151.06;14.20;1;;;;;;
290909.09;1185871.50;1451967.37;364153.62;191940.02;32.91;90150.59;13.90;1;;;;;;
245504.67;861227.94;927956.50;247642.08;157975.94;32.98;90151.95;15.12;1;;;;;;
223190.94;692125.69;684492.00;202531.64;150854.45;33.03;90152.05;15.29;1;;;;;;
246925.48;866694.88;930486.13;257545.27;165001.61;33.05;90149.55;14.84;1;;;;;;
269331.94;1171624.75;1683172.37;420275.00;204595.41;32.99;90152.23;13.30;1;;;;;;
255808.14;775170.31;560788.62;185037.95;152608.05;33.98;90090.97;12.34;2;;;;;;
274530.84;790428.37;425779.62;134559.80;133402.81;34.02;90090.48;12.28;2;;;;;;
214495.19;350684.94;186861.31;80175.38;111814.80;34.07;90090.69;12.28;2;;;;;;
191187.45;241851.67;120075.05;55797.73;92318.79;34.14;90092.78;12.44;2;;;;;;
171294.75;201455.83;106577.85;51832.36;91233.07;34.20;90091.12;12.50;2;;;;;;
164365.97;180154.83;97840.62;45960.50;84880.63;34.24;90092.25;12.50;2;;;;;;
180918.73;285794.03;153431.22;69640.91;105916.42;34.27;90094.48;12.14;2;;;;;;
183842.02;243577.55;127141.79;59869.04;99610.90;34.30;90092.43;12.18;2;;;;;;
198065.77;376055.81;220452.09;91233.07;118408.88;34.33;90095.16;12.05;2;;;;;;
220309.81;544680.88;361454.28;136170.22;138266.27;34.36;90095.61;11.70;2;;;;;;
243403.84;674349.69;462406.87;153707.59;142182.73;34.39;90095.90;11.55;2;;;;;;
237973.50;602884.88;379189.03;129751.65;133716.38;34.41;90096.35;11.75;2;;;;;;
229031.53;588844.19;409190.81;147465.44;142301.28;34.41;90097.30;11.62;2;;;;;;
224659.94;465560.34;265766.94;106113.99;125736.74;34.42;90096.68;11.78;2;;;;;;
193572.78;263306.75;136170.22;61156.23;98689.28;34.44;90096.66;12.13;2;;;;;;
192807.37;347118.66;206326.81;85906.04;114592.66;34.44;90096.60;11.83;2;;;;;;
177531.20;220309.81;110726.64;50068.45;86079.35;34.47;90095.02;12.07;2;;;;;;
144591.92;137931.03;78263.53;39640.75;79725.95;34.51;90097.20;12.10;2;;;;;;
165001.61;234700.89;137155.11;65624.20;103727.71;34.52;90095.80;11.84;2;;;;;;
182271.27;295697.38;165161.30;73478.76;108199.49;34.53;90096.31;11.85;2;;;;;;
193902.67;343278.59;203619.02;84544.25;113224.23;34.55;90098.30;11.87;2;;;;;;
185440.06;315951.87;179208.95;75493.95;105523.49;34.56;90095.88;11.94;2;;;;;;
157393.17;153155.84;81710.82;39384.62;77201.45;34.59;90097.90;12.14;2;;;;;;
194565.84;305216.09;172158.70;73796.48;109238.32;30.81;90156.20;14.21;2;;;;;;
203013.48;317126.03;170099.67;73415.55;112552.21;30.85;90153.96;14.29;2;;;;;;
223190.94;403387.81;200626.95;80025.01;114823.95;30.88;90152.70;14.13;2;;;;;;
222753.97;383018.50;166287.75;67653.27;104298.23;30.94;90155.05;14.33;2;;;;;;
211832.84;337508.25;182857.14;79207.92;114823.95;31.01;90155.88;14.05;2;;;;;;
239308.25;661926.31;428720.97;142897.02;141358.36;30.91;90156.95;13.42;2;;;;;;
258520.58;645039.37;286995.53;109871.24;132883.47;30.91;90154.88;13.26;2;;;;;;
252777.09;679721.19;454706.94;149795.20;144103.58;30.97;90155.09;13.30;2;;;;;;
250366.75;619854.75;407724.47;143377.20;144960.36;31.02;90151.53;13.04;2;;;;;;
246035.56;591907.50;378978.53;136387.86;143016.77;30.97;90154.63;13.04;2;;;;;;
249634.33;633075.75;415668.75;146578.88;148880.48;30.95;90155.77;12.80;2;;;;;;
270827.81;839516.31;629572.69;205457.47;164683.17;31.05;90155.15;12.53;2;;;;;;
267852.47;788602.25;567784.88;185037.95;157393.17;31.12;90156.64;12.50;2;;;;;;
256384.58;654940.81;431430.38;150588.23;147465.44;31.23;90156.74;12.68;2;;;;;;
235024.09;524590.19;288450.72;107045.79;126482.21;31.42;90155.95;13.92;2;;;;;;
225401.72;439484.97;266597.25;109378.34;130946.29;31.60;90155.99;13.16;2;;;;;;
241338.67;597084.56;354325.25;127236.58;133716.38;31.71;90155.86;12.88;2;;;;;;
236325.88;531948.06;320701.53;121701.92;131147.55;31.86;90159.16;12.63;2;;;;;;
186046.52;249817.03;141241.37;64630.14;102236.42;31.98;90157.91;12.92;2;;;;;;
233098.11;654940.81;477946.31;166775.25;150190.67;32.12;90157.48;12.26;2;;;;;;
269544.62;958577.12;786784.50;243057.20;169592.58;32.25;90158.94;12.21;2;;;;;;
262698.81;854757.94;725983.69;238139.53;169761.27;32.37;90158.85;12.10;2;;;;;;
250734.58;610432.19;366106.53;136061.66;140082.08;32.46;90158.05;12.37;2;;;;;;
242711.55;661926.31;471021.16;167758.84;153293.41;32.53;90159.13;12.33;2;;;;;;
240997.88;400078.12;185440.06;74831.92;103853.95;32.76;90157.16;13.47;2;;;;;;
180345.19;327784.91;213689.48;90077.41;115994.56;32.93;90157.55;12.75;2;;;;;;
238805.97;646260.63;424455.97;142420.03;131551.91;33.05;90158.21;12.37;2;;;;;;
175162.50;249817.03;162488.09;75427.23;109800.55;33.20;90157.00;12.50;2;;;;;;
208851.72;457449.19;297760.97;112182.30;122840.69;33.32;90156.62;12.35;2;;;;;;
208341.81;352132.06;199804.88;83469.19;113299.41;33.43;90158.55;12.30;2;;;;;;
185641.77;330322.59;205953.34;85134.69;110511.55;33.55;90159.86;12.48;2;;;;;;
297501.44;2005876.62;4576536.50;984852.12;245328.22;31.33;90174.03;14.27;3;;;;;;
268062.81;1741126.50;3973805.50;885813.13;222029.48;31.39;90176.84;14.67;3;;;;;;
292906.19;1972550.00;4388963.50;948587.31;237973.50;31.43;90173.99;14.80;3;;;;;;
289183.84;1941692.37;4417363.00;955892.62;252590.03;31.47;90174.80;14.46;3;;;;;;
336842.09;2353346.75;5410832.00;1111533.25;243230.41;31.53;90177.73;14.14;3;;;;;;
265353.72;1709515.87;3855966.00;855293.37;221453.28;31.53;90174.63;15.26;3;;;;;;
293662.19;1988349.50;4572704.50;981312.87;254094.30;31.55;90174.93;14.72;3;;;;;;
342933.69;2422235.25;5616729.50;1177688.37;260891.72;31.60;90176.21;13.79;3;;;;;;
281318.69;1887992.62;4295752.50;928587.62;225104.42;31.62;90175.95;14.85;3;;;;;;
343970.44;2390429.00;5389473.50;1108825.12;219742.48;31.64;90175.82;14.48;3;;;;;;
306311.69;2127792.25;4806101.50;1011857.69;243751.48;31.60;90176.43;14.89;3;;;;;;
295441.44;2068164.63;4780858.00;1017892.62;247283.27;31.61;90177.02;14.54;3;;;;;;
364932.28;2629855.50;6215478.00;1270865.62;284128.75;31.67;90176.87;13.46;3;;;;;;
370075.91;2650275.00;6162874.00;1232992.12;266805.62;31.73;90176.72;13.53;3;;;;;;
289674.69;1921200.75;4431701.50;971537.00;240658.05;31.73;90178.67;14.67;3;;;;;;
