0,1,2,3,label
461781.28,40.66,985.09,18.95,0
461157.41,40.54,985.1,18.97,0
463034.13,40.57,985.09,18.99,0
462406.88,40.66,985.06,18.92,0
463978.25,40.65,985.06,18.85,0
461157.41,40.62,985.08,18.88,0
464609.81,40.66,985.08,18.86,0
464609.81,40.72,985.09,18.81,0
465878.06,40.65,985.07,18.88,0
467473.19,40.69,985.07,18.87,0
464609.81,40.87,985.05,18.78,0
464926.22,40.8,985.06,18.71,0
463978.25,40.78,985.07,18.76,0
464609.81,40.85,985.07,18.76,0
464926.22,40.87,985.05,18.68,0
464609.81,40.79,985.04,18.73,0
465878.06,40.85,985.04,18.74,0
464926.22,40.94,985.06,18.77,0
467473.19,40.56,985.04,19.21,0
440335.41,41.62,985.21,20.14,1
213957.38,41.64,985.23,19.33,1
149926.8,41.77,985.24,19.45,1
137375.91,41.94,985.22,19.26,1
137597.42,42.09,985.19,18.94,1
136825.23,42.17,985.19,18.75,1
136935.02,42.3,985.21,18.58,1
138042.59,42.43,985.21,18.4,1
139623.67,42.52,985.22,18.25,1
140775.36,42.59,985.24,18.12,1
142658.13,42.71,985.21,17.98,1
144347.33,42.82,985.21,17.9,1
143739.47,42.85,985.24,17.8,1
146077.03,42.95,985.22,17.72,1
147338.13,43.04,985.22,17.65,1
149140.69,43.1,985.25,17.49,1
150987.91,43.14,985.23,17.44,1
150987.91,43.23,985.23,17.35,1
153293.41,43.31,985.23,17.27,1
154542.7,43.31,985.21,17.21,1
157538.47,43.4,985.25,17.2,1
160200.25,43.46,985.21,17.07,1
161259.84,43.49,985.24,17.0,1
163892.45,43.53,985.2,17.0,1
165803.11,43.59,985.24,16.93,1
167429.69,43.64,985.21,16.86,1
169256.2,43.64,985.23,16.82,1
169930.3,43.71,985.21,16.78,1
171294.75,43.76,985.21,16.74,1
174090.45,43.75,985.19,16.68,1
175522.8,43.8,985.22,16.66,1
176247.84,43.83,985.21,16.61,1
178086.95,43.87,985.21,16.57,1
178272.98,43.87,985.2,16.59,1
178272.98,43.91,985.16,16.53,1
