0,1,2,3,label_0,label_1,label_2
278,984,125,33,0,0,1
279,989,125,28,0,0,1
280,984,179,28,0,0,1
276,982,143,24,0,0,1
281,988,107,31,0,0,1
277,991,89,26,0,0,1
282,982,107,0,0,0,1
280,988,71,28,0,0,1
282,989,71,24,0,0,1
288,984,107,28,0,0,1
298,982,71,33,0,0,1
305,986,36,13,0,0,1
315,986,54,28,0,0,1
313,979,54,39,0,0,1
315,986,54,26,0,0,1
315,988,18,28,0,0,1
322,977,18,15,0,0,1
318,981,0,44,0,0,1
321,984,0,26,0,0,1
309,986,0,24,0,0,1
